Unnamed: 0;DraftId;formula_id;flagFC;flagEF;flagCKB;Amount;ActivityType;Education;Gender;LoanPurpose;MaritalStatus;MonthlyIncome;Post
182;a30dde5a-56ba-46a6-bb81-be0a46db92c9;55;1;1;0;6000.0;информационные технологии/телекоммуникации;высшее;1;непредвиденные расходы;3.0;70000.0;руководитель компании
183;b0d3d1ca-6768-4618-b4f6-ca27c6f50a9e;55;1;1;0;6600.0;промышленность;среднее специальное;1;непредвиденные расходы;1.0;42000.0;рабочий
191;bd5fc3f8-b936-42a5-873b-0a500d8cfa16;55;1;1;0;3000.0;;среднее специальное;2;образование;0.0;13000.0;
192;482a2aae-6d3b-4257-9136-cc248db5cb24;55;1;1;0;3000.0;другое;неполное высшее;1;бизнес;1.0;150000.0;руководитель компании
193;6d0161cb-2386-46f6-aaf3-78680cb3fa0e;54;1;1;0;6000.0;другое;неполное высшее;1;бизнес;1.0;150000.0;руководитель компании
197;ef5c88fb-9977-4032-9405-54098d83a613;53;1;0;0;6500.0;промышленность;среднее специальное;2;непредвиденные расходы;0.0;20000.0;служащий / специалист
199;a50738e0-38b6-4c23-bcf1-469e3a8ca462;54;1;1;0;6600.0;культура и искусство;высшее;2;другое;0.0;55000.0;рабочий
200;c09efb1e-4065-4bbc-9eff-31f8447ae631;55;1;1;0;6600.0;;среднее специальное;2;другое;2.0;35000.0;
201;9e8116cc-a2ae-4b35-b152-3578292a5bdd;48;0;1;0;6000.0;;среднее;1;непредвиденные расходы;0.0;55000.0;
205;e4d9e1b8-5793-4db8-bc7a-544836712ebe;55;1;1;0;3000.0;сервис и услуги;неполное высшее;1;непредвиденные расходы;4.0;65000.0;служащий / специалист
206;7279304f-5f5d-41ca-b1fe-82fb5ab03afb;54;1;1;0;3000.0;торговля;среднее;1;бизнес;0.0;50000.0;начальник / руководитель
207;224a71ff-ed12-4569-a1aa-7667ea8ec529;55;1;1;0;4000.0;наука и образование;среднее;2;непредвиденные расходы;1.0;15000.0;служащий / специалист
208;2cc12291-3e45-4675-9aec-a2f748158886;55;1;1;0;4000.0;другое;высшее;1;непредвиденные расходы;0.0;55000.0;рабочий
209;97c7ad0d-4095-4877-911b-e40a8a6bd9a7;54;1;1;0;6500.0;другое;высшее;1;непредвиденные расходы;0.0;55000.0;рабочий
213;73e49a4c-bbb5-4239-bf92-ef54337b3437;55;1;1;0;6000.0;промышленность;высшее;2;ремонт дома или автомобиля;4.0;45000.0;начальник / руководитель
214;b2529330-8a10-4dcb-8a5d-1f54dc393f01;55;1;1;0;5600.0;промышленность;высшее;1;непредвиденные расходы;0.0;30000.0;рабочий
215;69d0ff62-c799-4d4b-80b6-9db3bd4304ce;48;0;1;0;6000.0;охранная деятельность;неполное высшее;1;подарки;0.0;30000.0;рабочий
216;45389527-c59e-4b75-be11-eab03a697bed;54;1;1;0;6600.0;сервис и услуги;среднее специальное;1;другое;1.0;56000.0;руководитель компании
223;91d4b7c0-6711-4069-8e5a-ba3ba1a56ef9;55;1;1;0;5000.0;наука и образование;высшее;1;ремонт дома или автомобиля;1.0;40000.0;служащий / специалист
224;7e63e287-2a42-4413-866d-047b9f4685f7;55;1;1;0;3000.0;наука и образование;высшее;1;ремонт дома или автомобиля;1.0;40000.0;служащий / специалист
225;e9cdbc8b-b859-4a9c-9696-aac851db91a0;54;1;1;0;5000.0;наука и образование;высшее;1;ремонт дома или автомобиля;1.0;40000.0;служащий / специалист
226;d1c38978-a6eb-4614-82ef-b2a800fa61dd;55;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;непредвиденные расходы;0.0;40000.0;служащий / специалист
230;0bfa7af5-7ee0-46a5-a943-2caefba46865;54;1;1;0;6500.0;сервис и услуги;высшее;1;ремонт дома или автомобиля;0.0;35000.0;руководитель компании
234;c172dcb5-d0b6-4014-ba7a-850dd2b83d5f;55;1;1;0;6600.0;армия;неполное высшее;1;ремонт дома или автомобиля;1.0;42500.0;рядовой
236;53c9a8b5-58b5-4d3e-87c2-8a99ab725155;55;1;1;0;5000.0;торговля;среднее специальное;1;непредвиденные расходы;1.0;30000.0;служащий / специалист
237;99df8d9f-e9b0-43b2-b9cf-ca679ae59329;55;1;1;0;6000.0;транспорт;среднее;1;другое;1.0;80000.0;водитель
238;159cd554-f8d1-4559-b934-291001c42fcd;53;1;0;0;6000.0;другое;среднее;1;непредвиденные расходы;3.0;45000.0;служащий / специалист
241;f739c0f7-077c-437d-a7c6-21d4c055cf29;55;1;1;0;6600.0;информационные технологии/телекоммуникации;неполное среднее;2;медицинские услуги;0.0;20000.0;рабочий
242;529db390-6414-4229-8225-806252b87911;55;1;1;0;6000.0;торговля;неполное высшее;1;подарки;0.0;40000.0;водитель
244;4298a8c6-b2cf-41a0-b7d4-1c7d1bcef956;55;1;1;0;3000.0;торговля;высшее;1;непредвиденные расходы;1.0;25000.0;рабочий
246;190d57b5-8859-453c-a927-0e15b9b78eb5;54;1;1;0;6000.0;торговля;среднее;2;другое;0.0;40000.0;служащий / специалист
249;8ce9a0a7-a8cc-4da3-bce2-425c87a8cab8;53;1;1;0;3000.0;торговля;среднее специальное;1;ежедневные расходы;4.0;28645.0;служащий / специалист
250;2f51e8c7-8bf5-4d52-9c13-2b96663cf449;54;1;1;0;6000.0;медицина;среднее специальное;2;ремонт дома или автомобиля;1.0;40000.0;другое
251;0751e9a0-f4c7-4f4a-af5c-3b7ef6e4dc7d;55;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;медицинские услуги;1.0;45000.0;служащий / специалист
254;bcff60c1-4bf5-429a-b074-8ff6b0ac4346;54;1;1;0;6000.0;охранная деятельность;среднее специальное;2;ремонт дома или автомобиля;3.0;43000.0;служащий / специалист
260;fd45085b-2b47-45d8-8515-9a89df78ec0b;54;1;1;0;3000.0;торговля;среднее специальное;2;медицинские услуги;0.0;35000.0;рабочий
264;11b0b394-fe48-435b-8c53-ceb9ab1b2b2b;55;1;1;0;6000.0;медицина;среднее специальное;2;другое;0.0;25000.0;другое
265;1a644691-fb31-4ddb-8e92-235e0d6441e0;55;1;1;0;4000.0;финансы, банки, страхование, консалтинг;неполное высшее;2;другое;4.0;45000.0;главный бухгалтер
267;4757d6a3-2816-495a-b4a6-c4bfaf0f6b65;55;1;1;0;6000.0;медицина;неполное высшее;1;непредвиденные расходы;1.0;35000.0;другое
272;fb2ca723-5de1-4e88-9990-fcb20577d259;55;0;1;0;6000.0;сервис и услуги;среднее специальное;1;другое;4.0;60000.0;рабочий
273;002b3af7-da7d-4181-957e-70d42ed6921a;55;1;1;0;6000.0;сервис и услуги;среднее специальное;1;другое;4.0;60000.0;рабочий
275;e570afe5-ff0e-498b-a8bb-1cdf30d975eb;55;1;1;0;6000.0;сервис и услуги;среднее специальное;1;другое;4.0;60000.0;рабочий
280;2437d352-379a-41a0-aa6b-abe485768076;54;1;1;0;6000.0;промышленность;высшее;2;непредвиденные расходы;1.0;58000.0;служащий / специалист
281;b9bd0402-d980-441a-a7d0-891820aa734d;54;1;1;0;3600.0;промышленность;высшее;2;непредвиденные расходы;1.0;58000.0;служащий / специалист
282;98f40791-994a-498e-9fa8-82d12c5863a3;55;1;1;0;6000.0;сервис и услуги;среднее специальное;2;ремонт дома или автомобиля;0.0;25000.0;рабочий
289;281943ea-1dc9-4a24-98fe-086545924b2d;48;0;1;0;6600.0;промышленность;высшее;1;ремонт дома или автомобиля;0.0;50000.0;начальник / руководитель
293;c9e785c1-11af-4ddf-a253-bf2072c4e6ec;55;1;1;0;6000.0;транспорт;высшее;1;ремонт дома или автомобиля;3.0;80000.0;водитель
306;c066d5df-669e-42ac-93de-bb086cf7f5f7;55;1;1;0;6000.0;промышленность;среднее специальное;1;ремонт дома или автомобиля;0.0;35000.0;рабочий
310;39b19ec3-095c-44a8-8c04-480d73d9554e;54;1;1;0;6500.0;другое;среднее специальное;2;непредвиденные расходы;4.0;50000.0;рабочий
311;11a3f056-7e7f-40f7-829d-f52cb26b3ada;55;1;1;0;6600.0;государственная служба;высшее;2;ремонт дома или автомобиля;1.0;30000.0;служащий / специалист
312;d89a8ee1-852a-4197-97a0-b88136a4e199;55;1;1;0;6600.0;;среднее специальное;2;непредвиденные расходы;0.0;28000.0;
316;5af8e8ec-0d82-4f50-95d4-a222b86727a1;55;1;1;0;4000.0;другое;среднее специальное;1;непредвиденные расходы;0.0;27000.0;рабочий
317;2d14896c-8b45-4102-8292-d07b9c9d86fb;55;1;1;0;6000.0;другое;среднее специальное;1;непредвиденные расходы;0.0;27000.0;рабочий
318;6302db7e-4aeb-435a-8346-129def5a4b52;55;1;1;0;3000.0;финансы, банки, страхование, консалтинг;неполное высшее;2;подарки;0.0;40000.0;служащий / специалист
325;6e7615dd-c3b6-487f-8a34-c9ad1022f363;48;0;1;0;6000.0;промышленность;высшее;1;покупка бытовой техники и электроники;3.0;60000.0;служащий / специалист
326;1b75bcb5-ca2b-4908-91c4-b81e3292204b;55;1;1;0;6000.0;торговля;высшее;1;непредвиденные расходы;0.0;45000.0;рабочий
328;97c4ea9f-e194-431b-8133-0bc7b52fccf7;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
329;2eb38b54-23e8-48e7-9277-50cdb77219a8;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
330;d972373a-8fb9-4a16-9aab-a7e728784c67;53;1;0;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
331;073b5c06-12f5-4c33-bc61-27c3a52c5395;55;1;1;0;5000.0;;среднее специальное;1;подарки;1.0;80000.0;
332;be86615f-8b3b-4aeb-8187-392e0e5fe391;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
333;cf724b63-4faf-41c7-9fa9-ab72c0c44fc3;55;1;1;0;4000.0;;среднее специальное;1;подарки;1.0;80000.0;
334;66f6ef03-49b4-48e2-b105-b0cd5bf840dc;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
335;d74b41f0-8ca4-4d33-81ef-3865f2196bed;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
336;030154ab-8c66-42c8-872f-3546d67efc36;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
337;38f5b427-40d6-433d-ad1d-17a6fbbe541f;55;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
338;8aeabbb2-8887-4638-ad0c-a0fee60f93ca;54;1;1;0;6000.0;;среднее специальное;1;подарки;1.0;80000.0;
339;4d66bf56-f0b0-49c1-ac78-2b8c79e430c4;55;1;1;0;3000.0;;среднее специальное;1;подарки;1.0;80000.0;
340;c1928063-de49-47b0-ae65-915871e6f1d0;55;1;1;0;6000.0;сервис и услуги;среднее специальное;2;образование;0.0;30000.0;рабочий
341;3aca345d-0eb2-4fda-902f-1cbdaaa21513;55;1;1;0;4000.0;сервис и услуги;среднее специальное;2;образование;0.0;30000.0;рабочий
342;1e3ac4af-5028-4aba-845c-b370b30c065b;55;1;1;0;6000.0;промышленность;среднее специальное;1;ремонт дома или автомобиля;0.0;58000.0;служащий / специалист
343;dcf74a79-5cea-4609-ad62-26dc5f750a22;55;1;1;0;6000.0;промышленность;среднее специальное;1;ремонт дома или автомобиля;0.0;58000.0;служащий / специалист
344;94d20a87-3cfc-4fc3-b4d7-11f06c67ae1a;55;1;1;0;6000.0;промышленность;среднее специальное;1;ремонт дома или автомобиля;0.0;58000.0;служащий / специалист
345;714af9c4-6793-4ea6-a982-43d6eaf5f5e5;54;1;1;0;6000.0;промышленность;среднее специальное;1;ремонт дома или автомобиля;0.0;58000.0;служащий / специалист
346;e26b2226-9937-4404-9a11-32b6d82c37c4;55;1;1;0;6000.0;сервис и услуги;среднее специальное;1;ремонт дома или автомобиля;1.0;35000.0;рабочий
347;445a0f44-5dfd-42f5-aa44-2042ddaf620d;55;1;1;0;6000.0;сервис и услуги;среднее специальное;1;ремонт дома или автомобиля;1.0;35000.0;рабочий
352;8f4258c7-2034-4cc2-9b17-dca54f133022;55;1;1;0;6600.0;;среднее специальное;1;ежедневные расходы;0.0;25000.0;
353;89b23e6a-c89f-43df-893b-523b55ed99e0;54;1;1;0;5000.0;торговля;среднее специальное;1;непредвиденные расходы;0.0;30000.0;служащий / специалист
356;73e8034f-9704-49ad-ac39-ce0a14dd4586;54;1;1;0;6000.0;строительство и недвижимость;неполное высшее;1;ежедневные расходы;1.0;85000.0;рабочий
363;a69553b8-4fb7-4ed4-bc83-b670e6e96f2d;55;1;1;0;6000.0;торговля;среднее специальное;2;непредвиденные расходы;2.0;40000.0;служащий / специалист
367;1ed97e3d-bede-40c3-907b-1b7ee9d2070a;55;1;1;0;6000.0;государственная служба;высшее;2;непредвиденные расходы;1.0;34000.0;служащий / специалист
369;cb839ba7-349c-4dde-a11c-14ea69e8c276;53;1;1;0;5000.0;строительство и недвижимость;среднее;1;покупка бытовой техники и электроники;0.0;70000.0;рабочий
370;317400a3-fa03-4077-9fbf-b6e0ae90b910;48;0;1;0;6000.0;строительство и недвижимость;среднее;1;покупка бытовой техники и электроники;0.0;70000.0;рабочий
372;c58e1154-1e09-4cc5-8712-5cb8690d3bed;55;1;1;0;6000.0;сервис и услуги;среднее;2;непредвиденные расходы;0.0;127000.0;рабочий
374;7bd1880c-88e0-4202-9359-229e9cf9ebdc;55;1;1;0;6000.0;торговля;среднее специальное;2;ремонт дома или автомобиля;4.0;42000.0;служащий / специалист
375;3796214b-3f26-4632-86f8-282db17716a1;55;1;1;0;6000.0;торговля;среднее специальное;2;ремонт дома или автомобиля;4.0;42000.0;служащий / специалист
383;7e762293-ecdd-40da-8b51-ac6cf00025ea;54;1;1;0;6000.0;промышленность;среднее специальное;1;покупка бытовой техники и электроники;0.0;31700.0;рабочий
385;1d88daa8-31d5-41ab-b06d-db83196451bc;54;1;1;0;5000.0;торговля;среднее;1;медицинские услуги;0.0;40000.0;начальник / руководитель
392;79da4fca-b714-4021-8157-029f5f51f84c;54;1;1;0;6000.0;строительство и недвижимость;среднее;1;ремонт дома или автомобиля;1.0;80000.0;рабочий
393;92c30e68-f81a-44c5-8056-a28b450c84ac;55;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;медицинские услуги;1.0;50000.0;рабочий
394;35913397-7a97-41ee-aede-2ba5240e60b4;55;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;медицинские услуги;1.0;50000.0;рабочий
395;6a5158d6-3ccb-417c-b5ef-ba12abaef10d;55;1;1;0;5000.0;торговля;среднее специальное;2;подарки;0.0;22000.0;рабочий
396;5b47d6f5-391c-44f4-9760-fc869be5eed7;55;1;1;0;3000.0;;среднее;2;образование;0.0;20000.0;
407;16aa065b-76d2-4a5f-889e-e0dd6521e600;55;1;1;0;5000.0;;высшее;1;непредвиденные расходы;0.0;25000.0;
408;19c05bed-0528-49f4-bd6c-c71ddbba36f4;55;1;1;0;6000.0;государственная служба;высшее;1;ремонт дома или автомобиля;0.0;65000.0;начальник / руководитель
410;8805f78a-2830-4944-b5e8-6097ef29b6d9;55;1;1;0;6000.0;;среднее;1;непредвиденные расходы;3.0;35000.0;
411;f6a5ae00-9cc5-4f8a-9cb0-ed212511dc65;54;1;1;0;5000.0;торговля;среднее специальное;2;ежедневные расходы;4.0;23000.0;служащий / специалист
412;2159356c-6287-4dd7-a2f2-4f9ff39111d7;55;1;1;0;6000.0;торговля;среднее специальное;2;ежедневные расходы;4.0;23000.0;служащий / специалист
418;c7bd05b4-875a-4c42-aef8-25e151a74e51;54;1;1;0;3000.0;промышленность;среднее специальное;1;ежедневные расходы;0.0;22000.0;служащий / специалист
423;bac18094-61a7-4d04-8f11-22d1e481c4de;53;1;1;0;6000.0;охранная деятельность;среднее специальное;1;непредвиденные расходы;0.0;30000.0;рабочий
424;ab1c9da3-1a4b-46a8-973e-bb27ebde4d15;55;1;1;0;6000.0;сервис и услуги;высшее;2;ежедневные расходы;0.0;50000.0;служащий / специалист
425;13e43862-d249-4b97-b7c8-ca78d9aa601d;55;1;1;0;6600.0;сервис и услуги;высшее;2;ежедневные расходы;0.0;50000.0;служащий / специалист
427;71cc1a72-d34e-44e1-a986-5a201d05cf99;53;1;0;0;6600.0;промышленность;высшее;2;медицинские услуги;0.0;18000.0;рабочий
428;d58361bf-3f29-4c5d-b2d5-fd93cb015c3a;54;1;1;0;6000.0;сервис и услуги;среднее;2;непредвиденные расходы;0.0;45000.0;служащий / специалист
439;50eece17-17fd-4979-b6d1-a66c67516f8e;54;1;1;0;6000.0;торговля;среднее специальное;2;непредвиденные расходы;1.0;50000.0;служащий / специалист
442;b5e42cb9-ef40-4c29-8633-32618dc14546;48;0;1;0;5000.0;торговля;среднее;1;ремонт дома или автомобиля;0.0;30000.0;рабочий
450;6ace9e4e-5100-46c8-9d3b-11b5d43bf548;55;1;1;0;6600.0;строительство и недвижимость;высшее;1;непредвиденные расходы;3.0;90000.0;начальник / руководитель
455;42d12dc5-e247-45f2-94d0-882085a2c15c;55;1;1;0;3000.0;строительство и недвижимость;среднее;1;ремонт дома или автомобиля;1.0;40000.0;начальник / руководитель
457;2553ef4e-27fe-48c2-acce-ffbc7eaf44b3;55;1;1;0;6000.0;охранная деятельность;среднее специальное;1;непредвиденные расходы;1.0;40000.0;рабочий
459;b52f9c17-9711-40a9-aff0-b5d938b4372e;55;1;1;0;6000.0;охранная деятельность;среднее специальное;1;непредвиденные расходы;1.0;40000.0;рабочий
460;e84699a4-b3a5-4fb3-bbcf-f6f848f8fcac;55;1;1;0;6000.0;охранная деятельность;среднее специальное;1;непредвиденные расходы;1.0;40000.0;рабочий
462;48ed7852-ba50-4902-8a2d-8b4f7f3a43b8;54;1;1;0;5000.0;другое;среднее;2;медицинские услуги;0.0;23000.0;служащий / специалист
469;e5094aa2-6777-4a85-b86f-8d43e42b6787;54;1;1;0;6000.0;медицина;неполное высшее;1;медицинские услуги;0.0;50000.0;заведующий отделением
470;55235078-28cf-4d2a-81fb-e0e5aa776abe;55;1;1;0;3600.0;торговля;высшее;2;ремонт дома или автомобиля;0.0;31000.0;рабочий
476;f65a98f7-0d82-471a-94a5-b10f1ea0841a;55;1;1;0;6000.0;промышленность;среднее специальное;1;медицинские услуги;0.0;45000.0;служащий / специалист
477;89f5cbb4-0a3e-4bdc-8ac6-a7915a0cb01d;55;1;1;0;6000.0;промышленность;высшее;1;ремонт дома или автомобиля;3.0;60000.0;начальник / руководитель
482;4d571093-df53-44b7-9479-da94670da11e;48;0;1;0;6000.0;другое;среднее специальное;2;ремонт дома или автомобиля;3.0;60000.0;руководитель компании
483;c04ae11e-f8df-42af-8ce2-8ff050c57c4b;55;1;1;0;4000.0;другое;среднее специальное;2;ремонт дома или автомобиля;3.0;60000.0;руководитель компании
